redshift,frequency_MHz,brightness_temp_mK,neutral_fraction
0.000000000000000000e+00,1.420405751000000009e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.948286623322140976e-02,1.340659482347239418e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.225039438417618864e-01,1.265390432517030831e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.892736957795648767e-01,1.194347235662123012e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.600151039403095776e-01,1.127292638443871056e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.349644138198295540e-01,1.064002707709407105e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.143719234731850776e-01,1.004266082652431351e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.985028194011644764e-01,9.478832689601653101e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.876380621577090846e-01,8.946659725892254755e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.820753246358068900e-01,8.444364709455196589e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.821299861653208119e-01,7.970270193681791397e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.881361857426053330e-01,7.522792909354435551e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.000447937909237250e+00,7.100438477216923729e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.119440315006416053e+00,6.701796417398525136e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.245510699753239248e+00,6.325535439025471760e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.379080112331928731e+00,5.970398994289206485e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.520594616411885536e+00,5.635201082123926426e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.670526808808091790e+00,5.318822287479506485e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.829377397748654932e+00,5.020206042962743709e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.997676875022238008e+00,4.738355100362385883e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.175987287589606467e+00,4.472328200274400842e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.364904114575711258e+00,4.221236928705477567e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.565058255910634077e+00,3.984242750157195587e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.777118139260607688e+00,3.760554207282625612e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.001791952285319809e+00,3.549424277763473015e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.239830007676289370e+00,3.350147879580854919e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.492027248874496337e+00,3.162059516348417105e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.759225904835283849e+00,2.984531054844222808e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.042318302706282118e+00,2.816969627319339793e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.342249847811483043e+00,2.658815651577745598e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.660022180893301780e+00,2.509540962215491220e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.996696523156443526e+00,2.368647046778264951e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.353397220284581870e+00,2.235663380946889731e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.731315497265288883e+00,2.110145857191011203e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.131713436562729491e+00,1.991675301643349201e+02,8.060234785079956055e-02,5.593512207269668579e-03
6.555928192923459186e+00,1.879856074241531019e+02,1.218332648277282715e+00,7.566703855991363525e-02
7.005376458890951952e+00,1.774314747462582318e+02,3.909279584884643555e+00,2.248112410306930542e-01
7.481559195941740015e+00,1.674698859237622628e+02,6.841742515563964844e+00,3.802510499954223633e-01
7.986066647043090327e+00,1.580675735882051924e+02,9.011232376098632812e+00,5.173753499984741211e-01
8.520583647371967828e+00,1.491931381110321411e+02,9.327626228332519531e+00,6.302678585052490234e-01
9.086895250930787427e+00,1.408169427425083313e+02,6.192684173583984375e+00,7.234472632408142090e-01
9.686892691850417236e+00,1.329110146378815216e+02,-3.002944707870483398e+00,7.995523214340209961e-01
1.032257970028855176e+01,1.254489514402624621e+02,-2.168514633178710938e+01,8.600711822509765625e-01
1.099607919401580247e+01,1.184058331082512296e+02,-5.110527420043945312e+01,9.064196348190307617e-01
1.170964036803657393e+01,1.117581386938510946e+02,-8.326431274414062500e+01,9.403996467590332031e-01
1.246564620592084260e+01,1.054836677927456492e+02,-9.788943481445312500e+01,9.640054702758789062e-01
1.326662143793151571e+01,9.956146640461649611e+01,-8.503807067871093750e+01,9.794819355010986328e-01
1.411524097252400267e+01,9.397175695590746614e+01,-5.823151779174804688e+01,9.889937043190002441e-01
1.501433882937555353e+01,8.869587225134200992e+01,-3.313916015625000000e+01,9.944562315940856934e-01
1.596691760377678193e+01,8.371619313362035086e+01,-1.640367889404296875e+01,9.973707199096679688e-01
1.697615849399232246e+01,7.901608964310717909e+01,-7.217837333679199219e+00,9.988113045692443848e-01
1.804543192507766136e+01,7.457986548100866742e+01,-2.879099607467651367e+00,9.994659423828125000e-01
1.917830880463097998e+01,7.039270559057024457e+01,-1.109274744987487793e+00,9.997369050979614258e-01
2.037857244806947676e+01,6.644062668123872584e+01,-4.968226253986358643e-01,9.998379945755004883e-01
2.165023121325522126e+01,6.271043053056162364e+01,-3.583782315254211426e-01,9.998712539672851562e-01
2.299753188666481662e+01,5.918965990787181397e+01,-4.187448322772979736e-01,9.998836517333984375e-01
2.442497386580676277e+01,5.586655697256225750e+01,-5.983000397682189941e-01,9.998824596405029297e-01
2.593732418524969319e+01,5.273002400801873080e+01,-8.922287225723266602e-01,9.998812079429626465e-01
2.753963343644181805e+01,4.976958636007937997e+01,-1.346804618835449219e+00,9.998799562454223633e-01
2.923725263448685396e+01,4.697535745625142312e+01,-2.040060281753540039e+00,9.998786449432373047e-01
3.103585108820416849e+01,4.433800578886457799e+01,-3.046413183212280273e+00,9.998772740364074707e-01
3.294143533315121886e+01,4.184872375189931404e+01,-4.415883064270019531e+00,9.998758435249328613e-01
3.496036919083658034e+01,3.949919822741830444e+01,-6.372211456298828125e+00,9.998743534088134766e-01
3.709939502111236465e+01,3.728158282337285812e+01,-8.788799285888671875e+00,9.998728632926940918e-01
3.936565623871985053e+01,3.518847167007054821e+01,-1.182408523559570312e+01,9.998712539672851562e-01
4.176672116918381761e+01,3.321287468779566154e+01,-1.570380020141601562e+01,9.998695850372314453e-01
4.431060832372384795e+01,3.134819424298702728e+01,-1.979350662231445312e+01,9.998677968978881836e-01
4.700581317758979338e+01,2.958820311501519740e+01,-2.464158058166503906e+01,9.998660087585449219e-01
4.986133654124937920e+01,2.792702369997743972e+01,-2.991204833984375000e+01,9.998641014099121094e-01
5.288671461917539318e+01,2.635910838206034867e+01,-3.508282470703125000e+01,9.998621344566345215e-01
5.609205085661557888e+01,2.487922100691903182e+01,-4.064027404785156250e+01,9.998600482940673828e-01
5.948804968069990906e+01,2.348241939520184118e+01,-4.579771423339843750e+01,9.998579025268554688e-01
6.308605224856542293e+01,2.216403883782365369e+01,-5.059823608398437500e+01,9.998556375503540039e-01
6.689807432188206349e+01,2.091967651786899651e+01,-5.516867446899414062e+01,9.998532533645629883e-01
7.093684639426389538e+01,1.974517680710090772e+01,-5.869325637817382812e+01,9.998506307601928711e-01
7.521585620557368657e+01,1.863661738797241796e+01,-6.163674545288085938e+01,9.998480081558227539e-01
7.974939378510025279e+01,1.759029615479405706e+01,-6.395391082763671875e+01,9.998452067375183105e-01
8.455259917403307668e+01,1.660271885031310291e+01,-6.530938720703125000e+01,9.998422861099243164e-01
8.964151298660652856e+01,1.567058739641607268e+01,-6.603508758544921875e+01,9.998390674591064453e-01
9.503312997876564339e+01,1.479078887998415581e+01,-6.610465240478515625e+01,9.998357295989990234e-01
1.007454558032500529e+02,1.396038515711900807e+01,-6.544949340820312500e+01,9.998321533203125000e-01
1.067975671406329639e+02,1.317660304102165192e+01,-6.429454040527343750e+01,9.998283386230468750e-01
1.132096754071258715e+02,1.243682504075636963e+01,-6.268025207519531250e+01,9.998242855072021484e-01
1.200031942519076154e+02,1.173858061997075986e+01,-6.061776733398437500e+01,9.998198151588439941e-01
1.272008110693863898e+02,1.107953794638031475e+01,-5.827228546142578125e+01,9.998151063919067383e-01
1.348265627652171190e+02,1.045749610446405065e+01,-5.570353698730468750e+01,9.998099803924560547e-01
1.429059160290988473e+02,9.870377745365127353e+00,-5.293245697021484375e+01,9.998043775558471680e-01
1.514658523824268173e+02,9.316222149450402057e+00,-5.006298065185546875e+01,9.997981786727905273e-01
1.605349582848248531e+02,8.793178678360655809e+00,-4.713996887207031250e+01,9.997915029525756836e-01
1.701435206004699978e+02,8.299500594684500854e+00,-4.419718170166015625e+01,9.997841119766235352e-01
1.803236277430303858e+02,7.833539228616039019e+00,-4.127413558959960938e+01,9.997758865356445312e-01
